slug,name_en,name_he,desc_en,desc_he,keywords,icon,google_category
skincare-routine,Skincare Routine,שגרת טיפוח,Essential skincare tools for glowing skin,"כלי טיפוח חיוניים לעור זוהר — תכשירי ניקוי, מסכות וכלים",face roller gua sha|LED face mask|facial cleansing brush|hyaluronic acid serum|vitamin C serum,mask,469
hair-styling,Hair Styling Tools,כלי עיצוב שיער,Professional hair tools for salon-quality styling at home,כלי עיצוב שיער מקצועיים באיכות סלון בבית,hair dryer diffuser|curling wand|hair straightener brush|hair clippers trimmer|hot air brush,chef,267
makeup-essentials,Makeup Essentials,איפור בסיסי,Everything you need for a complete makeup kit,"כל מה שצריך לערכת איפור מלאה — מברשות, ספוגים ומארגנים",makeup brush set|beauty blender sponge|makeup bag organizer|eyelash curler|eyeshadow palette,camera,469
nail-care,Nail Art & Care,טיפוח ציפורניים,DIY nail art tools and care kits for perfect manicures at home,ערכות טיפוח ציפורניים לעשה זאת בעצמך למניקור מושלם בבית,UV nail lamp|nail drill file|nail art stamp kit|nail polish set|cuticle oil kit,sun,469
mens-grooming,Men's Grooming,גילוח וטיפוח לגברים,Complete grooming kit for modern men — shavers and beard care,ערכת גילוח וטיפוח שלמה לגבר המודרני,beard trimmer|electric shaver|beard oil kit|men's face wash|mustache comb,mask,469
bath-body,Bath & Body,אמבטיה וגוף,Luxurious bath treats and body care essentials,פינוקים לאמבטיה וטיפוח גוף יוקרתיים,bath bombs set|body scrub|shower steamer|bath pillow|spa headband,lamp,469
korean-skincare,K-Beauty Routine,שגרת קוריאנית,Korean skincare step-by-step — essence and sheet masks,שגרת טיפוח קוריאנית צעד אחר צעד,Korean essence|snail mucin|sheet masks|vitamin C brightening|centella asiatica,mask,469
anti-aging,Anti-Aging Skincare,טיפוח אנטי אייג'ינג,Anti-aging serums and creams for youthful radiant skin,סרומים וקרמים נגד קמטים לעור צעיר וזוהר,retinol serum|hyaluronic acid serum|vitamin C serum|anti-wrinkle cream|eye cream,sun,469
acne-care,Acne Care,טיפול באקנה,Clear skin solutions for acne-prone skin — spot treatments and cleansers,פתרונות לעור נוטה לאקנה — טיפולים מקומיים ותכשירי ניקוי,salicylic acid cleanser|benzoyl peroxide spot treatment|niacinamide serum|tea tree oil|clay mask,mask,469
facial-tools,Facial Tools,כלי פנים,Professional facial tools for spa-level skincare at home,כלי טיפוח מקצועיים ברמת ספא בבית,face roller|jade roller|gua sha tool|facial steamer|microcurrent device,bulb,469
hair-growth,Hair Growth,צמיחת שיער,Products to support hair growth and reduce hair thinning,מוצרים לתמיכה בצמיחת שיער והפחתת נשירה,caffeine shampoo|biotin supplement|hair growth serum|derma roller|rosemary oil,run,469
curly-hair,Curly Hair Care,טיפוח שיער מתולתל,Defined curls and moisture for curly and wavy hair,תלתלים מוגדרים ולחות לשיער מתולתל וגלי,curl cream|diffuser attachment|satin bonnet|cotton t-shirt towel|leave-in conditioner,music,469
hair-accessories,Hair Accessories,אביזרי שיער,Stylish hair accessories for every occasion,אביזרי שיער אופנתיים לכל אירוע,hair claw clip|scrunchie set|hair turban towel|headband|hair fork,backpack,469
makeup-brushes,Makeup Brushes,מברשות איפור,Professional makeup brush sets for flawless application,ערכות מברשות איפור מקצועיות למריחה מושלמת,foundation brush|powder brush|blush brush|eyeshadow brush set|concealer brush,camera,469
eye-makeup,Eye Makeup,איפור עיניים,Complete eye makeup essentials for stunning looks,ערכת איפור עיניים שלמה ללוקים מרשימים,eyeliner pencil|eyeshadow palette|eyebrow pencil|mascara waterproof|eyelash curler,camera,469
lip-care,Lip Care,טיפוח שפתיים,Nourishing lip care products for soft hydrated lips,מוצרי הזנה לשפתיים רכות ולחות,lip balm|lip scrub|lip mask|lip plumping gloss|lip stain,sun,469
false-lashes,False Eyelashes,ריסים מלאכותיים,Stunning false lashes from natural to dramatic,ריסים מלאכותיים מרשימים מטבעיים עד דרמטיים,false eyelashes|lash glue|individual lashes|strip lashes|lash applicator,camera,469
makeup-organizers,Makeup Organizers,מארגני איפור,Keep your makeup collection tidy and accessible,שמירה על אוסף האיפור מסודר ונגיש,makeup case|cosmetic bag organizer|acrylic makeup organizer|makeup train case|brush holder,backpack,469
perfume-fragrance,Perfume & Fragrance,בשמים וריחות,Long-lasting perfumes and fragrance oils for every occasion,בשמים וניחוחות עמידים לכל אירוח,perfume oil|perfume sample set|body mist|roll-on fragrance|solid perfume,run,469
sun-care,Sun Care,הגנה מהשמש,Sunscreen and after-sun products for healthy protected skin,מסנני קרינה ומוצרים אחרי שמש לעור בריא ומוגן,sunscreen SPF 50|after-sun lotion|sun stick|facial sun protection|tanning oil,sun,469
body-hair-removal,Body Hair Removal,הסרת שיער בגוף,Effective hair removal solutions for smooth skin,פתרונות אפקטיביים להסרת שיער לעור חלק,epilator|hair removal cream|wax strips|electric trimmer|IPL hair removal device,bulb,469
waxing-kit,Waxing Kit,ערכת שעווה,Complete waxing kits for professional hair removal at home,ערכות שעווה שלמות להסרת שיער מקצועית בבית,wax warmer|hard wax beans|wax strips|wax spatula|pre-wax oil,bulb,469
manicure-pedicure,Manicure & Pedicure,מניקור ופדיקור,Professional nail care tools for salon-quality manicures at home,כלי טיפוח ציפורניים מקצועיים למניקור באיכות סלון בבית,manicure set|cuticle pusher|nail file set|nail buffer|toe separator,sun,469
gel-nails,Gel Nails,ציפורני ג'ל,Everything for perfect gel nails at home — lamps and polishes,"כל מה שצריך לציפורני ג'ל מושלמות בבית — מנורות ולקים",UV gel polish|gel nail lamp|gel base coat|gel top coat|nail dehydrator,bulb,469
nail-art,Nail Art,אמנות ציפורניים,Creative nail art supplies for unique manicure designs,אביזרים ליצירת ציפורניים אומנותיות לעיצובים ייחודיים,nail stamps|nail art brushes|nail rhinestones|dotting tool|nail stencils,lamp,469
beard-care,Beard Care,טיפוח זקן,Complete beard grooming products for a well-kept beard,מוצרי טיפוח שלמים לזקן מטופח,beard trimmer|beard oil|beard balm|beard brush|beard shampoo,mask,469
shavers-trimmers,Electric Shavers,מכונות גילוח חשמליות,Modern electric shavers and trimmers for a clean shave,מכונות גילוח חשמליות מודרניות לגילוח נקי,electric shaver|foil shaver|rotary shaver|trimmer detailer|nose hair trimmer,run,469
oral-care,Oral Care,היגיינת פה,Essential oral care products for a bright healthy smile,מוצרי היגיינת פה חיוניים לחיוך בריא וזוהר,electric toothbrush|water flosser|teeth whitening strips|tongue scraper|travel toothbrush case,run,469
teeth-whitening,Teeth Whitening,הלבנת שיניים,Professional teeth whitening kits for a brighter smile,ערכות הלבנת שיניים מקצועיות לחיוך בהיר יותר,teeth whitening strips|activated charcoal powder|LED whitening light|whitening pen|whitening toothpaste,lamp,469
foot-care,Foot Care,טיפוח כף הרגל,Complete foot care for smooth and healthy feet,טיפוח כף הרגל השלם לעור חלק ובריא,callus remover|foot file|foot cream|heel sleeves|foot spa,mask,469
hand-care,Hand Care,טיפוח ידיים,Nourishing hand care products for soft beautiful hands,מוצרי הזנה לידיים רכות ויפות,hand cream|nail oil|cuticle cream|hand mask|moisturizing gloves,sun,469
face-masks,Face Masks,מסכות פנים,Sheet masks clay masks and peel-off masks for every skin type,"מסכות בד, מסכות חימר ומסכות פילינג לכל סוג עור",sheet mask|clay mask|peel-off mask|gel mask|charcoal mask,mask,469
gua-sha-facial,Face Massage Tools,כלי עיסוי פנים,Face massage and gua sha tools for lymphatic drainage,כלי עיסוי פנים וגואה שה לניקוז לימפטי,gua sha stone|face roller jade|ice roller face|face yoga tool|lymphatic drainage tool,run,469
aromatherapy,Aromatherapy,ארומתרפיה,Essential oils and aromatherapy accessories for relaxation,שמנים אתריים ואביזרי ארומתרפיה להרפיה,essential oil set|diffuser ultrasonic|aromatherapy candle|room spray|pillow spray,lamp,469
essential-oils,Essential Oils,שמנים אתריים,Pure essential oils collection for wellness and relaxation,אוסף שמנים אתריים טהורים לבריאות והרגעה,lavender oil|tea tree oil|peppermint oil|eucalyptus oil|frankincense oil,run,469
shower-gadgets,Shower Gadgets,גאדג'טים למקלחת,Smart shower accessories for a more enjoyable daily routine,אביזרי מקלחת חכמים לשגרה יומית מהנה יותר,shower speaker|shower cap|loofah sponge|shower caddy|silicone shower brush,music,469
cosmetic-bags,Cosmetic Bags,תיקי קוסמטיקה,Stylish and functional cosmetic bags for travel and daily use,תיקי קוסמטיקה אופנתיים ושימושיים לנסיעות ולשימוש יומי,travel cosmetics bag|toiletry bag|makeup pouch|vanity case|cosmetic train case,backpack,469
hair-coloring,Hair Coloring,צביעת שיער,DIY hair coloring kits and tools for salon results at home,ערכות צביעת שיער לעשה זאת בעצמך לתוצאות כמו במספרה,ammonia-free hair dye|hair bleach kit|hair color brush|hair developer|toning shampoo,run,469
wigs-extensions,Wigs & Extensions,פאות ותוספות שיער,Natural-looking wigs and hair extensions for versatile styling,פאות ותוספות שיער במראה טבעי לסטיילינג מגוון,human hair wig|synthetic wig|hair extensions clip-in|tape-in extensions|wig cap,chef,469
scalp-care,Scalp Care,טיפוח הקרקפת,Scalp treatments and products for a healthy hair foundation,טיפולים ומוצרים לקרקפת בריאה כבסיס לשיער חזק,scalp massage brush|scalp scrub|scalp serum|dandruff shampoo|hair growth stimulator,mask,469
eyebrow-care,Eyebrow Care,טיפוח גבות,Everything for perfect eyebrows — shaping and styling,הכל לגבות מושלמות — עיצוב וסטיילינג,eyebrow razor|eyebrow stencil|eyebrow gel|eyebrow powder|eyebrow tweezer,camera,469
eyelash-serum,Eyelash Serum,סרום ריסים,Eyelash growth serums for longer fuller lashes,סרומים לצמיחת ריסים לריסים ארוכים ומלאים יותר,eyelash growth serum|eyebrow growth serum|lash conditioning|lash primer|lash lift kit,run,469
eco-beauty,Eco Beauty,יופי אקולוגי,Sustainable and eco-friendly beauty products for a greener routine,מוצרי יופי ברי קיימא וידידותיים לסביבה לשגרה ירוקה יותר,reusable makeup pads|bamboo toothbrush|biodegradable loofah|shampoo bar|safety razor set,backpack,469
spa-at-home,Home Spa,ספא ביתי,Create a luxurious spa experience at home,צרו חוויית ספא יוקרתית בבית,face steamer|foot spa massager|bath pillow|body brush|spa robe,lamp,469
sleep-beauty,Sleep & Beauty,שינה ויופי,Beauty products for your nighttime routine for overnight radiance,מוצרי יופי לשגרת הלילה לזוהר בזמן השינה,silk pillowcase|sleep mask silk|satin hair bonnet|night cream|sleeping pack,sun,469
facial-cleansing,Facial Cleansing,ניקוי פנים,Deep cleansing tools and products for a clear complexion,כלי ניקוי עמוק ומוצרים לעור נקי וצלול,facial cleansing brush|oil cleanser|foaming cleanser|micellar water|double cleansing set,mask,469
ipl-hair-removal,IPL Hair Removal,הסרת שיער IPL,Professional IPL devices for permanent hair reduction at home,מכשירי IPL מקצועיים להפחתת שיער קבועה בבית,IPL device|flash cartridge|safety goggles|cooling gel|precision cap,bulb,469
beauty-supplements,Beauty Supplements,תוספי יופי,Supplements for hair skin and nail health from within,תוספי תזונה לשיער עור וציפורניים מבפנים,collagen powder|biotin gummies|vitamin C gummies|hair skin nails vitamins|marine collagen,sun,469
tanning-bronzing,Tanning & Bronzing,שיזוף ושיזוף מלאכותי,Self-tanning products and bronzers for a sun-kissed glow,מוצרי שיזוף עצמי ומברונזרים לגוון שזוף,self tanner mousse|tanning drops|bronzing powder|tanning mitt|gradual tan lotion,sun,469
body-butter,Body Butter,חמאת גוף,Rich body butters and lotions for deep moisturization,חמאות גוף עשירות ותחליבים ללחות עמוקה,body butter cocoa|shea body cream|body lotion dry skin|whipped body butter|body oil,run,469
fragrance-oils,Fragrance Body Oils,שמני גוף ריחניים,Perfumed body oils for silky scented skin,שמני גוף מבושמים לעור משיי וריחני,fragrance body oil|perfume oil roll-on|scented body lotion|massage oil|body shimmer oil,run,469